id,brand,primaryCategories,colors,ean / upc,manufacturer,name,prices.amountMax,prices.amountMin,prices.availability,prices.currency,prices.size,color 1,color 2,color 3,color 4,color 5,color 6,category 1,category 2,category 3,category 4,category 5,category 6,category 7
AWo-BWmTAGTnQPR7sPYQ,Aerosoles,Shoes,Pink Leather,825000000000,,Women's Aerosoles Network Slide Sandal,55.96,55.96,TRUE,USD,10,Pink,Leather,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-BX3XAGTnQPR7sPY3,Easy Street,Shoes,White,890000000000,,women's easy street ryanne wedge slingback,51.96,51.96,FALSE,USD,10 M,White,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-BXBMAGTnQPR7sPYg,Diviana,Shoes,Beige,689000000000,,Jalila-23 Women's Beach Slip On Gold Plated Slingback T-Strap Flat Thong Sandal,11.99,11.99,TRUE,USD,11,Beige,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-ByccAGTnQPR7sPmL,Toms,Shoes,Multi Drizzle Chambray,889556000000,,Toms Women's Viv Specchio Rose Gold Sandal - 8M,56,56,TRUE,USD,9 Medium BM,Multi,Drizzle,Chambray,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-BZqh0U_gzG0hgB3q,Bamboo,Shoes,Fuchsia,723000000000,,Bamboo Women's Wedge Sandals with Faux Cork Sole and Bow Design,19.95,19.95,FALSE,USD,10 BM US,Fuchsia,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-C15oM263mwCq7Dmm,Chinese Laundry,Shoes,Gunmetal,786000000000,,Chinese Laundry Womens Mystical Faux Suede Riding Over-The-Knee Boots,42.91,42.91,TRUE,USD,7 US / 37.5 EU,Gunmetal,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-C5kM0U_gzG0hgCh0,Pleaser,Shoes,Black Faux Leather,885488000000,,"BETTIE-01, 4 1/2'' Heel 1'' Semi Hidden Platform Peep Toe Sandal",46.45,46.45,FALSE,USD,Size 11,Black,Faux,Leather,,,,Womens Shoes,Clothing,All Womens Shoes,Shoes,,,
AWo-C7ed0U_gzG0hgCi6,Material Girl,Shoes,White,706257000000,,Material Girl Women's Swan Flat Thong Sandals,29.23,29.23,FALSE,USD,8,White,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-C7f_JbEilcB6NjA2,Franco Sarto,Shoes,Black Elko Nubuck Leather,727685000000,,Franco Sarto Women's FIDELA 5 Sandal,29.97,29.97,TRUE,USD,8.5 BM US,Black,Elko,Nubuck,Leather,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-C85wM263mwCq7Dp7,Yellow Box,Shoes,Clear/Black,697000000000,,Yellow Box Womens Rubie Leather Slip-On Wedge Sandals,39.99,39.99,TRUE,USD,10 Medium BM,Clear,Black,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
